subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
11,ppc,active,15-80ms,0.015,0.08,0.8054161311742479,88.02719157239513,21.026954409614728,-0.2616990578793439,20.000000000000004,54.901590423113,0.6422293989240196,0.07362585607634603,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-11_PPC_active_ave.fif,PPC_active,True,
11,ppc,sham,15-80ms,0.015,0.08,0.42164817714815356,74.16131788389076,18.785449941968277,-0.21872620619520491,20.000000000003567,52.896183911216575,0.42888411439118,0.09302295949969389,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-11_PPC_sham_ave.fif,PPC_sham,True,
12,dlpfc,active,15-80ms,0.015,0.08,0.46070547458062155,50.00000000000001,13.110581212726267,0.226734582117893,20.00000000000268,59.464415745457686,0.7976780369234502,0.05536681577480953,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-12_DLPFC_active_ave.fif,DLPFC_active,True,
12,dlpfc,sham,15-80ms,0.015,0.08,0.43753687850673995,50.000000000000924,13.272221504904797,0.5495102852975918,45.003022612914464,107.91438548883559,0.738687172965288,0.06292285163679136,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-12_DLPFC_sham_ave.fif,DLPFC_sham,True,
12,m1,active,15-80ms,0.015,0.08,0.8164135588800848,113.55989091380387,19.659506728898737,0.27209783745922733,20.00000000000029,62.56353062299882,0.6085844514736092,0.07700999035217547,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-12_M1_active_ave.fif,M1_active,True,
12,m1,sham,15-80ms,0.015,0.08,0.3612414678747479,70.88684766969807,18.484954134853265,-0.20394745918380608,20.000000000004913,52.579280252382546,0.3728439794488214,0.09748006948989434,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-12_M1_sham_ave.fif,M1_sham,True,
12,ppc,active,15-80ms,0.015,0.08,0.7376505251034147,87.85694780771216,21.33409964810353,-0.27361984796154504,20.000000000000075,54.54632219542013,0.6628345191934297,0.07147424634799407,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-12_PPC_active_ave.fif,PPC_active,True,
12,ppc,sham,15-80ms,0.015,0.08,0.807195828324995,91.17290269082508,21.825693580057088,0.484317496994997,45.51116231373745,118.99100391333475,0.525230989234879,0.08481432579514374,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-12_PPC_sham_ave.fif,PPC_sham,True,
13,dlpfc,active,15-80ms,0.015,0.08,0.5409938270743417,79.65117465548262,16.13006423016192,0.27916151466101485,20.000000000000007,61.97684291859756,0.7314243120585204,0.06379128941460581,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-13_DLPFC_active_ave.fif,DLPFC_active,True,
13,dlpfc,sham,15-80ms,0.015,0.08,0.35805412216863913,50.00000000000001,17.649454994471274,0.2862153022121789,20.000000000000004,60.61397112132521,0.7905105829126231,0.0563389925103799,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-13_DLPFC_sham_ave.fif,DLPFC_sham,True,
