subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues,mi_early_late_bits,bins_early,bins_late,resample_n
10,m1,sham,early,0.015,0.08,0.3936911149120879,74.553452104982,18.437538132899466,-0.2093476702140564,20.000000000009297,52.68709587828808,0.3912045160519077,0.0960425634769436,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-10_M1_sham_ave.fif,M1_sham,True,,0.7273425846668088,9,8,128
10,ppc,active,early,0.015,0.08,0.8822910675598178,112.90404462017251,25.0,-0.5293746405358876,43.50507890821211,111.38851158112114,0.6981173516139801,0.0676312022738386,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-10_PPC_active_ave.fif,PPC_active,True,,0.7246572395832789,13,9,128
10,ppc,sham,early,0.015,0.08,0.3954478735507949,73.51792888529268,18.6747693081793,-0.2149370220590401,20.00000000000001,52.79490718808916,0.4092088254633956,0.0946117404574175,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-10_PPC_sham_ave.fif,PPC_sham,True,,0.7231431739202246,9,8,128
11,dlpfc,active,early,0.015,0.08,0.2876356191003163,50.00000000000041,14.31752227713736,0.2937182399323485,20.000000000000004,61.63920147672473,0.778187121752886,0.0579724174549043,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-11_DLPFC_active_ave.fif,DLPFC_active,True,,0.6259333383841925,9,8,128
11,dlpfc,sham,early,0.015,0.08,0.233481863371379,50.00000000000001,15.682531756129556,0.3054101744173674,20.00000000000007,60.20753796247931,0.7376546741020791,0.0630470394251427,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-11_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.8912608020230256,8,8,128
11,m1,active,early,0.015,0.08,0.3423578584148301,62.634887548304455,19.480756448918875,-0.2166406083737835,20.000000000000004,52.771024334073616,0.420831672755838,0.0936764521399395,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-11_M1_active_ave.fif,M1_active,True,,0.7602195360621683,9,8,128
11,m1,sham,early,0.015,0.08,0.4094926625981656,72.80627582241536,18.738458134775023,-0.2173565096060081,20.00000000000275,52.86862087855659,0.4239719397152124,0.0934221487823501,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-11_M1_sham_ave.fif,M1_sham,True,,0.7216465396253667,9,8,128
11,ppc,active,early,0.015,0.08,0.8054161311742479,88.02719157239513,21.026954409614728,-0.2616990578793439,20.000000000000004,54.901590423113,0.6422293989240196,0.073625856076346,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-11_PPC_active_ave.fif,PPC_active,True,,0.7474467552451923,10,8,128
11,ppc,sham,early,0.015,0.08,0.4216481771481535,74.16131788389076,18.78544994196828,-0.2187262061952049,20.000000000003567,52.896183911216575,0.42888411439118,0.0930229594996938,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-11_PPC_sham_ave.fif,PPC_sham,True,,0.6446377297878552,9,8,128
12,dlpfc,active,early,0.015,0.08,0.4607054745806215,50.00000000000001,13.110581212726268,0.226734582117893,20.00000000000268,59.464415745457686,0.7976780369234502,0.0553668157748095,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-12_DLPFC_active_ave.fif,DLPFC_active,True,,0.8867515776957574,11,8,128
12,dlpfc,sham,early,0.015,0.08,0.4375368785067399,50.00000000000093,13.272221504904795,0.5495102852975918,45.003022612914464,107.9143854888356,0.738687172965288,0.0629228516367913,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-12_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.7900176054956024,12,8,128
12,m1,active,early,0.015,0.08,0.8164135588800848,113.55989091380388,19.659506728898737,0.2720978374592273,20.00000000000029,62.56353062299882,0.6085844514736092,0.0770099903521754,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-12_M1_active_ave.fif,M1_active,True,,0.5062193379329089,9,8,128
12,m1,sham,early,0.015,0.08,0.3612414678747479,70.88684766969807,18.484954134853265,-0.203947459183806,20.00000000000492,52.57928025238255,0.3728439794488214,0.0974800694898943,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-12_M1_sham_ave.fif,M1_sham,True,,0.658051648503862,9,8,128
12,ppc,active,early,0.015,0.08,0.7376505251034147,87.85694780771216,21.33409964810353,-0.273619847961545,20.000000000000075,54.54632219542013,0.6628345191934297,0.071474246347994,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-12_PPC_active_ave.fif,PPC_active,True,,0.592952826448541,8,8,128
12,ppc,sham,early,0.015,0.08,0.807195828324995,91.17290269082508,21.825693580057088,0.484317496994997,45.51116231373745,118.99100391333477,0.525230989234879,0.0848143257951437,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-12_PPC_sham_ave.fif,PPC_sham,True,,0.6536082970079063,10,8,128
13,dlpfc,active,early,0.015,0.08,0.5409938270743417,79.65117465548262,16.13006423016192,0.2791615146610148,20.000000000000007,61.97684291859756,0.7314243120585204,0.0637912894146058,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-13_DLPFC_active_ave.fif,DLPFC_active,True,,0.5938119386101447,9,10,128
13,dlpfc,sham,early,0.015,0.08,0.3580541221686391,50.00000000000001,17.649454994471274,0.2862153022121789,20.000000000000004,60.61397112132521,0.7905105829126231,0.0563389925103799,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-13_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.7229556840034818,8,13,128
13,m1,active,early,0.015,0.08,0.4814278776679932,68.52755270773312,17.632895667779493,-0.2251268544355908,20.000000000000004,52.83793633402925,0.5131257058047592,0.0858887841652786,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-13_M1_active_ave.fif,M1_active,True,,0.4749643463225783,8,8,128
13,m1,sham,early,0.015,0.08,0.3285506719755366,70.67425679668794,18.23759521759756,-0.2107123812956287,20.000000000000004,52.66806442130114,0.3764369887071913,0.0972004342250427,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-13_M1_sham_ave.fif,M1_sham,True,,0.6712908669496103,9,8,128
13,ppc,active,early,0.015,0.08,0.4928592945112698,77.06819948552719,18.68100704065884,-0.2369784972760196,20.000000000000004,53.162306817342426,0.5050948979143233,0.0865942385659737,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-13_PPC_active_ave.fif,PPC_active,True,,0.5876048913108415,8,8,128
13,ppc,sham,early,0.015,0.08,0.5541830259510429,81.18511563040609,19.4478082127873,-0.2402538319460634,20.00000000155656,53.39110099950168,0.5209601828571745,0.085194947312771,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-13_PPC_sham_ave.fif,PPC_sham,True,,0.7236934849479894,9,8,128
14,dlpfc,active,early,0.015,0.08,0.6799123146446368,110.77826790954876,18.162233635984403,0.3321528551757218,20.000000000000004,61.50286781485634,0.8205388978370773,0.0521450631271249,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-14_DLPFC_active_ave.fif,DLPFC_active,True,,0.4643144326648412,8,8,128
14,dlpfc,sham,early,0.015,0.08,0.8314690544099933,61.51824233359522,14.674440276333328,0.498881432645993,53.6206033332029,107.23749017054188,0.7557987760432712,0.0608277777401297,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-14_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.6886545919230284,10,8,128
14,m1,active,early,0.015,0.08,0.4767964965376675,50.00000000000001,14.765746452826631,0.2350333487070939,20.000000000000043,61.7394133083467,0.8557706363247031,0.0467471217191159,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-14_M1_active_ave.fif,M1_active,True,,0.6690332233544684,12,8,128
14,m1,sham,early,0.015,0.08,0.4354374332302039,74.09840739878352,18.691943975356327,-0.2157954808588798,20.00000000000124,52.89633341101612,0.4272506031226636,0.0931558971016693,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-14_M1_sham_ave.fif,M1_sham,True,,0.683099696280372,9,8,128
