subject,site,cond,channel,mi_early_late_bits,reason,resample_n
2,m1,sham,CP5,0.7171280355415475,ok,128
2,m1,sham,CP6,0.6718780748546885,ok,128
2,m1,sham,TP9,0.733548966298553,ok,128
2,m1,sham,TP10,0.6450500325021093,ok,128
2,ppc,active,Fp1,0.6337976364224729,ok,128
2,ppc,active,Fp2,0.7911520818275249,ok,128
2,ppc,active,F3,0.6124290002851315,ok,128
2,ppc,active,F4,0.6076470243144259,ok,128
2,ppc,active,C3,0.7114965152001709,ok,128
2,ppc,active,C4,0.5691415932851043,ok,128
2,ppc,active,P3,0.6408365885353162,ok,128
2,ppc,active,P4,0.6703268039289092,ok,128
2,ppc,active,O1,0.6895319506549954,ok,128
2,ppc,active,O2,0.593515731426732,ok,128
2,ppc,active,F7,0.6202280167096427,ok,128
2,ppc,active,F8,0.7948935153988483,ok,128
2,ppc,active,T7,0.5692261922219113,ok,128
2,ppc,active,T8,0.5233206504161402,ok,128
2,ppc,active,P7,0.6782994712555008,ok,128
2,ppc,active,P8,0.5560708357327176,ok,128
2,ppc,active,Fz,0.5972976559593585,ok,128
2,ppc,active,Cz,0.6097261264484451,ok,128
2,ppc,active,Pz,0.6163072571807721,ok,128
2,ppc,active,Iz,0.6732969124933633,ok,128
2,ppc,active,FC1,0.6445320731812906,ok,128
2,ppc,active,FC2,0.577863364496669,ok,128
2,ppc,active,CP1,0.5803101437922839,ok,128
2,ppc,active,CP2,0.7406580983292604,ok,128
2,ppc,active,FC5,0.638835183703142,ok,128
2,ppc,active,FC6,0.5597276204446613,ok,128
2,ppc,active,CP5,0.5904229963232552,ok,128
2,ppc,active,CP6,0.642437648995395,ok,128
2,ppc,active,TP9,0.6050905085151905,ok,128
2,ppc,active,TP10,0.6789337141830418,ok,128
2,ppc,sham,Fp1,0.7966869044021214,ok,128
2,ppc,sham,Fp2,0.600697447441396,ok,128
2,ppc,sham,F3,0.7167843260512565,ok,128
2,ppc,sham,F4,0.7004468271493888,ok,128
2,ppc,sham,C3,0.7396679104126674,ok,128
2,ppc,sham,C4,0.6280408484694088,ok,128
2,ppc,sham,P3,0.790243937295541,ok,128
2,ppc,sham,P4,0.710898441291949,ok,128
2,ppc,sham,O1,0.649674452670748,ok,128
2,ppc,sham,O2,0.5831151797951758,ok,128
2,ppc,sham,F7,0.7582079465113325,ok,128
2,ppc,sham,F8,0.669399782527287,ok,128
2,ppc,sham,T7,0.6989498278085753,ok,128
2,ppc,sham,T8,0.6947361881348343,ok,128
2,ppc,sham,P7,0.7643919879782388,ok,128
2,ppc,sham,P8,0.5906917231770089,ok,128
2,ppc,sham,Fz,0.7824987595714058,ok,128
2,ppc,sham,Cz,0.6373435706339201,ok,128
2,ppc,sham,Pz,0.8167858349070063,ok,128
2,ppc,sham,Iz,0.6982911390421023,ok,128
2,ppc,sham,FC1,0.7636666859455282,ok,128
2,ppc,sham,FC2,0.6460393974595546,ok,128
